store_id,store_name,store_type,city,province,region,latitude,longitude,opening_date,store_size_sqm,monthly_rent,manager_id
STR0001,MegaMart Hypermarket Bandung 1,HYPERMARKET,Bandung,Jawa Barat,JABODETABEK,-5.716899,106.289784,2016-07-25,500,83197857,EMP2424
STR0002,MegaMart Hypermarket Sleman 2,HYPERMARKET,Sleman,Yogyakarta,YOGYAKARTA,-7.136435,105.98739,2017-08-10,10000,90801586,EMP1434
STR0003,MegaMart Hypermarket Balikpapan 3,HYPERMARKET,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-5.767961,107.20265,2019-09-15,1000,70291817,EMP5557
STR0004,MegaMart Hypermarket Jakarta Pusat 4,HYPERMARKET,Jakarta Pusat,DKI Jakarta,JABODETABEK,-5.803721,106.480501,2016-09-28,1000,55176955,EMP2674
STR0005,MegaMart Hypermarket Bogor 5,HYPERMARKET,Bogor,Jawa Barat,JABODETABEK,-7.006567,107.494989,2021-10-08,2000,15831819,EMP8527
STR0006,MegaMart Hypermarket Balikpapan 6,HYPERMARKET,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-5.253768,106.557069,2021-03-11,2000,94374605,EMP6925
STR0007,MegaMart Hypermarket Yogyakarta 7,HYPERMARKET,Yogyakarta,Yogyakarta,YOGYAKARTA,-5.790856,105.891649,2017-07-22,2000,20709497,EMP4814
STR0008,MegaMart Hypermarket Bogor 8,HYPERMARKET,Bogor,Jawa Barat,JABODETABEK,-6.644053,107.071369,2019-02-03,1000,59684848,EMP6820
STR0009,MegaMart Hypermarket Sidoarjo 9,HYPERMARKET,Sidoarjo,Jawa Timur,JAWA_TIMUR,-6.666044,107.673309,2022-04-08,500,91756179,EMP3803
STR0010,MegaMart Hypermarket Balikpapan 10,HYPERMARKET,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-6.873195,106.558911,2022-03-06,10000,39476249,EMP6313
STR0011,MegaMart Hypermarket Jakarta Pusat 11,HYPERMARKET,Jakarta Pusat,DKI Jakarta,JABODETABEK,-5.556395,107.410092,2019-07-02,2000,18883684,EMP4456
STR0012,MegaMart Hypermarket Sleman 12,HYPERMARKET,Sleman,Yogyakarta,YOGYAKARTA,-6.774747,106.798463,2024-12-02,5000,29175900,EMP5339
STR0013,MegaMart Hypermarket Semarang 13,HYPERMARKET,Semarang,Jawa Tengah,JAWA_TENGAH,-5.710022,106.877955,2023-05-18,10000,67503414,EMP7543
STR0014,MegaMart Hypermarket Medan 14,HYPERMARKET,Medan,Sumatera Utara,SUMATERA_UTARA,-5.205348,106.076663,2020-07-14,500,16323852,EMP2796
STR0015,MegaMart Hypermarket Magelang 15,HYPERMARKET,Magelang,Jawa Tengah,JAWA_TENGAH,-6.880036,107.160962,2021-09-08,500,61642594,EMP7252
STR0016,MegaMart Hypermarket Sleman 16,HYPERMARKET,Sleman,Yogyakarta,YOGYAKARTA,-6.141771,107.742157,2024-08-26,500,25374874,EMP9797
STR0017,MegaMart Hypermarket Serang 17,HYPERMARKET,Serang,Banten,JABODETABEK,-6.519649,106.387,2016-10-09,5000,10435578,EMP5315
STR0018,MegaMart Hypermarket Balikpapan 18,HYPERMARKET,Balikpapan,Kalimantan Timur,KALIMANTAN_TIMUR,-6.184637,106.012822,2022-01-05,2000,95758349,EMP9317
STR0019,MegaMart Hypermarket Yogyakarta 19,HYPERMARKET,Yogyakarta,Yogyakarta,YOGYAKARTA,-6.894321,107.325022,2021-01-18,10000,10076758,EMP6310
STR0020,MegaMart Hypermarket Denpasar 20,HYPERMARKET,Denpasar,Bali,BALI,-6.976265,106.525962,2024-04-29,2000,42138745,EMP1949
STR0021,MegaMart Hypermarket Sidoarjo 21,HYPERMARKET,Sidoarjo,Jawa Timur,JAWA_TIMUR,-5.306101,105.971307,2020-06-13,500,81498611,EMP3060
STR0022,MegaMart Hypermarket Magelang 22,HYPERMARKET,Magelang,Jawa Tengah,JAWA_TENGAH,-6.249435,106.899607,2017-12-21,10000,91415657,EMP7932
STR0023,MegaMart Hypermarket Sidoarjo 23,HYPERMARKET,Sidoarjo,Jawa Timur,JAWA_TIMUR,-5.68947,107.179735,2022-12-30,2000,63551839,EMP7118
STR0024,MegaMart Hypermarket Badung 24,HYPERMARKET,Badung,Bali,BALI,-6.957992,106.249395,2018-10-16,500,88961459,EMP4770
STR0025,MegaMart Hypermarket Yogyakarta 25,HYPERMARKET,Yogyakarta,Yogyakarta,YOGYAKARTA,-7.185618,107.215682,2015-08-30,1000,19046318,EMP1514
STR0026,MegaMart Hypermarket Medan 26,HYPERMARKET,Medan,Sumatera Utara,SUMATERA_UTARA,-6.171688,106.356955,2020-06-11,1000,82374753,EMP3167
STR0027,MegaMart Hypermarket Sleman 27,HYPERMARKET,Sleman,Yogyakarta,YOGYAKARTA,-6.714006,106.745946,2019-07-26,1000,22660194,EMP2588
STR0028,MegaMart Hypermarket Makassar 28,HYPERMARKET,Makassar,Sulawesi Selatan,SULAWESI_SELATAN,-6.352843,106.734049,2023-03-06,500,97705310,EMP2612
STR0029,MegaMart Hypermarket Jakarta Timur 29,HYPERMARKET,Jakarta Timur,DKI Jakarta,JABODETABEK,-5.743573,107.401185,2016-03-23,1000,35714784,EMP4116
STR0030,MegaMart Hypermarket Samarinda 30,HYPERMARKET,Samarinda,Kalimantan Timur,KALIMANTAN_TIMUR,-6.919635,106.166976,2020-03-09,1000,20117988,EMP8260
